name,count
alice,147
little,44
queen,28
rabbit,28
king,24
voice,19
duchess,18
mouse,18
white,18
door,17
time,17
looked,16
found,15
heard,15
round,15
caterpillar,14
moment,14
dont,13
dear,12
head,12
house,12
cat,11
hatter,11
looking,11
suddenly,11
called,10
ill,10
low,10
near,10
please,10
tone,10
arm,9
half,9
ive,9
march,9
ran,9
table,9
tell,9
theres,9
added,8
bit,8
cant,8
hand,8
hare,8
hearts,8
size,8
soon,8
witness,8
youre,8
birds,7
cook,7
court,7
cried,7
croquet,7
day,7
dodo,7
eyes,7
garden,7
getting,7
mind,7
mushroom,7
pigeon,7
question,7
set,7
thats,7
tried,7
window,7
wish,7
alices,6
close,6
course,6
curious,6
dormouse,6
dry,6
feet,6
foot,6
grow,6
growing,6
hall,6
hear,6
idea,6
knave,6
left,6
minute,6
name,6
noticed,6
party,6
play,6
read,6
replied,6
serpent,6
silence,6
sitting,6
till,6
walked,6
wood,6
afraid,5
air,5
arms,5
baby,5
eat,5
evidence,5
fan,5
glass,5
gone,5
hands,5
hastily,5
key,5
mad,5
majesty,5
mean,5
offended,5
prizes,5
sir,5
sister,5
spoke,5
stood,5
talk,5
talking,5
tarts,5
theyre,5
trial,5
wonder,5
wont,5
