"name","word","count"
"holmes","holmes",457
"little","little",269
"time","time",150
"door","door",140
"matter","matter",125
"heard","heard",113
"hand","hand",112
"house","house",112
"found","found",107
"morning","morning",99
"tell","tell",98
"sherlock","sherlock",96
"eyes","eyes",87
"miss","miss",87
"day","day",85
"left","left",84
"street","street",82
"round","round",81
"watson","watson",81
"sir","sir",78
"night","night",76
"business","business",73
"light","light",73
"look","look",73
"father","father",72
"hands","hands",72
"seen","seen",72
"lady","lady",71
"window","window",70
"cried","cried",69
"friend","friend",69
"head","head",67
"doubt","doubt",64
"remarked","remarked",64
"indeed","indeed",62
"name","name",62
"course","course",59
"woman","woman",59
"mind","mind",58
"answered","answered",56
"chair","chair",56
"dear","dear",56
"sat","sat",54
"wife","wife",52
"looked","looked",51
"brought","brought",50
"front","front",50
"hardly","hardly",50
"told","told",50
"black","black",49
"leave","leave",48
"understand","understand",48
"help","help",47
"life","life",47
"suddenly","suddenly",47
"home","home",46
"minutes","minutes",46
"son","son",46
"strange","strange",46
"words","words",46
"papers","papers",45
"fire","fire",44
"gone","gone",44
"hair","hair",44
"wish","wish",44
"call","call",43
"hat","hat",43
"looking","looking",43
"money","money",43
"police","police",43
"table","table",43
"baker","baker",42
"days","days",42
"gentleman","gentleman",42
"lay","lay",42
"pounds","pounds",42
"passed","passed",41
"pray","pray",41
"set","set",41
"lord","lord",40
